model_id,mean_per_class_error,logloss,rmse,mse
GBM_grid_0_AutoML_20190610_232046_model_29,0.3714025,0.5800288,0.4199021,0.1763178
GBM_grid_0_AutoML_20190610_232046_model_12,0.375566,0.6754965,0.4305092,0.1853381
GBM_grid_0_AutoML_20190610_232046_model_13,0.3769875,0.6703646,0.4331213,0.1875941
GBM_grid_0_AutoML_20190610_232046_model_3,0.3804114,0.5322601,0.4146073,0.1718992
GBM_grid_0_AutoML_20190610_232046_model_11,0.3828338,0.5577919,0.420985,0.1772284
GBM_grid_0_AutoML_20190610_232046_model_2,0.3828421,0.5356926,0.4167742,0.1737008
GBM_grid_0_AutoML_20190610_232046_model_27,0.3835715,0.5315232,0.4147698,0.172034
GBM_grid_0_AutoML_20190610_232046_model_4,0.3838911,0.538161,0.4178498,0.1745984
GBM_grid_0_AutoML_20190610_232046_model_14,0.384195,0.5551901,0.4229868,0.1789178
GBM_grid_0_AutoML_20190610_232046_model_18,0.386311,0.6671598,0.4375399,0.1914412
GBM_grid_0_AutoML_20190610_232046_model_1,0.3877411,0.5410379,0.4199114,0.1763256
GBM_grid_0_AutoML_20190610_232046_model_0,0.3887709,0.546998,0.4225237,0.1785263
DRF_0_AutoML_20190610_232046,0.3888847,0.5689504,0.4170387,0.1739213
GBM_grid_0_AutoML_20190610_232046_model_6,0.3889939,0.5743937,0.4285411,0.1836474
GBM_grid_0_AutoML_20190610_232046_model_5,0.3890852,0.9497036,0.6120412,0.3745945
DRF_0_AutoML_20190610_231836,0.3918085,0.8618324,0.4226336,0.1786192
GBM_grid_0_AutoML_20190610_232046_model_7,0.4102615,0.5686468,0.4333394,0.187783
GBM_grid_0_AutoML_20190610_232046_model_20,0.4123456,0.9349262,0.6059911,0.3672252
GBM_grid_0_AutoML_20190610_232046_model_8,0.4173196,0.9669965,0.6188224,0.3829412
XRT_0_AutoML_20190610_232046,0.4349273,0.5691575,0.4292762,0.1842781
GBM_grid_0_AutoML_20190610_232046_model_26,0.4503688,0.8865624,0.5854282,0.3427262
GBM_grid_0_AutoML_20190610_232046_model_31,0.4562621,1.062491,0.6543283,0.4281456
GBM_grid_0_AutoML_20190610_232046_model_32,0.4602732,0.6272511,0.4588993,0.2105886
GBM_grid_0_AutoML_20190610_232046_model_30,0.4650902,0.8598899,0.5734471,0.3288416
GBM_grid_0_AutoML_20190610_232046_model_22,0.4727961,0.9797086,0.623598,0.3888745
GBM_grid_0_AutoML_20190610_232046_model_25,0.4772884,0.8256429,0.5583105,0.3117106
GLM_grid_0_AutoML_20190610_232046_model_0,0.4883639,0.6590175,0.4709254,0.2217707
GBM_grid_0_AutoML_20190610_232046_model_10,0.4926111,0.9776465,0.622861,0.3879558
GBM_grid_0_AutoML_20190610_232046_model_9,0.4998964,0.868417,0.5769097,0.3328248
GBM_grid_0_AutoML_20190610_232046_model_19,0.5143308,0.9255794,0.6014169,0.3617023
GBM_grid_0_AutoML_20190610_232046_model_24,0.5239247,0.9943931,0.6291218,0.3957942
GBM_grid_0_AutoML_20190610_232046_model_23,0.5249702,1.0784579,0.6598479,0.4353992
